SOC,OCVchg_V_15C,OCVdis_V_15C,OCVavg_V_15C,OCVchg_V_25C,OCVdis_V_25C,OCVavg_V_25C,OCVchg_V_45C,OCVdis_V_45C,OCVavg_V_45C
0,3.0144,3.0144,3.0144,2.9285,2.9285,2.9285,2.8826,2.8826,2.8826
0.005,3.0428632444476,3.02235195314577,3.03260759879668,2.96098852233912,2.96098852233912,2.96098852233912,2.91797193598605,2.91797193598605,2.91797193598605
0.01,3.0713264888952,3.03933091204292,3.05532870046906,2.99347704467824,2.98135319413196,2.9874151194051,2.95334387197211,2.94161003185644,2.94747695191427
0.015,3.09978973334279,3.05630987094007,3.07804980214143,3.02596556701736,2.99665189169464,3.011308729356,2.98871580795816,2.95838434622152,2.97355007708984
0.02,3.12825297779039,3.07209166732984,3.10017232256012,3.05845408935648,3.01195058925733,3.03520233930691,3.02408774394422,2.97515866058659,2.99962320226541
0.025,3.15671622223799,3.08269632153104,3.11970627188452,3.0909426116956,3.02724928682002,3.05909594925781,3.05945967993027,2.99193297495167,3.02569632744097
0.03,3.18517946668559,3.09330097573224,3.13924022120891,3.12343113403473,3.04254798438271,3.08298955920872,3.09483161591632,3.00870728931675,3.05176945261654
0.035,3.21364271113318,3.10390562993344,3.15877417053331,3.15591965637385,3.05784668194539,3.10688316915962,3.13020355190238,3.02548160368183,3.0778425777921
0.04,3.24210595558078,3.11451028413464,3.17830811985771,3.18840817871297,3.07314537950808,3.13077677911052,3.16557548788843,3.0422559180469,3.10391570296767
0.045,3.27056920002838,3.12511493833583,3.19784206918211,3.22089670105209,3.08844407707077,3.15467038906143,3.20094742387449,3.05903023241198,3.12998882814323
0.05,3.29903244447598,3.13571959253703,3.2173760185065,3.25338522339121,3.1021147670589,3.17774999522505,3.23436994268909,3.07580454677706,3.15508724473307
0.055,3.3124800906305,3.14632424673823,3.22940216868436,3.26269409620552,3.11204891486863,3.18737150553707,3.24341687444899,3.09257886114213,3.16799786779556
0.06,3.31867830221347,3.15692890093943,3.23780360157645,3.27162977716811,3.12198306267836,3.19680641992323,3.25246380620889,3.10539579194103,3.17892979907496
0.065,3.32487651379643,3.16753355514062,3.24620503446853,3.2805654581307,3.13191721048809,3.20624133430939,3.26151073796879,3.11550063725534,3.18850568761207
0.07,3.33107472537939,3.17813820934182,3.25460646736061,3.28950113909329,3.14185135829782,3.21567624869556,3.2705576697287,3.12560548256965,3.19808157614917
