Step,Dir,SOC,R0,R1,tau1,R2,tau2
4,dis,0.999994262536246,0.00299941180365928,0.00179488270237264,0.291192217572757,0.00103452642177734,6.61243381557699
10,dis,0.942634164184297,0.00291801321643276,0.0012383316673594,0.291592303524786,0.000944182339126756,7.18177003294308
16,dis,0.885273491717198,0.00285518181284633,0.000903957646973082,0.308624557944475,0.00110617324156862,8.42290006988866
22,dis,0.827913148294611,0.00286090357704489,0.000663683675107397,0.349131567332744,0.00140228582128887,10.3367852358773
28,dis,0.770553192076251,0.00289368630783624,0.000508038263862101,0.384541934328468,0.00143005288561831,10.4594068279148
34,dis,0.713198959619658,0.00287084955462879,0.000439101762419171,0.39269891272642,0.00127652000687372,10.2198389353717
36,chg,0.707472802501702,0.00287093249378792,0.00037441069680465,0.385075567609344,0.00140001295028241,10.8580571575986
40,dis,0.661160851433299,0.00286802277953841,0.000409047437568953,0.392010068798845,0.00121629342889887,10.1889053011377
42,chg,0.655434714729015,0.00286651095239456,0.000353109390699164,0.401485933535132,0.00125893225677525,10.3772477270591
46,dis,0.609529310940918,0.00288085950814132,0.0003877162531162,0.412566306499622,0.00129523041052726,10.9314031627849
48,chg,0.60380315329848,0.00285236021895464,0.000354379963050532,0.393356103935822,0.00129207238298023,10.493145079242
52,dis,0.55789737644248,0.00287947458937687,0.000391079128782056,0.397234021231001,0.00136575765915475,11.1555188292262
54,chg,0.552171306027324,0.00287234585694314,0.000333293224314131,0.396410707168041,0.00145574783834908,11.4505347203741
58,dis,0.50626596573387,0.00288802832921809,0.000377282314596013,0.399020818797507,0.00136737682624138,11.4420589765985
60,chg,0.500539860350768,0.00285944820223448,0.00033973525503815,0.382014566814853,0.0016639715829943,13.3012880373722
64,dis,0.454635127698089,0.00285375869547209,0.0003690589738665,0.395128642051755,0.0012670058260339,10.7452555163857
66,chg,0.448909029485596,0.00284512114531292,0.000314075682475953,0.36767606716332,0.00158984682398791,13.1493112866618
70,dis,0.403003655314119,0.00281949651847884,0.000333638500160061,0.390788758382498,0.00162531635117421,13.0143983804431
72,chg,0.39727759971548,0.00278502971508103,0.000308756488232108,0.365139343793966,0.00201912473828382,15.977088823403
76,dis,0.351372798585611,0.0026880840824183,0.000336976806301183,0.390395245142222,0.00196472434174148,15.4929945431253
78,chg,0.345646741044764,0.00267939786622497,0.000299379036856347,0.365786116861245,0.00219361030964089,17.3628522348773
82,dis,0.299742081458454,0.00270662121741732,0.000354538059718443,0.372851519665293,0.00218732776371265,16.4105833470069
84,chg,0.294015939083257,0.00268667032164693,0.000331753241263603,0.355519705768514,0.00243751119582912,18.5337023469783
88,dis,0.248110713265349,0.00275949612317543,0.000405312199223799,0.362079844744586,0.00246515492685014,16.9393071916931
90,chg,0.242384635564879,0.00275510616343283,0.000370650546701134,0.347623534382311,0.00270900521139639,19.2345713772764
94,dis,0.196480603418388,0.00282231430552124,0.00050107719477625,0.364277896951794,0.00286099236316626,17.6312187115381
96,chg,0.190754472385041,0.00280798890055185,0.000465438194163141,0.335905619485093,0.00297149944034998,19.1683662838142
100,dis,0.14484993925533,0.00289091871849095,0.000659339790466549,0.350168694286339,0.00324098288887517,17.138972290121
102,chg,0.139123869962901,0.0028894059790776,0.000579986664145173,0.333962485905487,0.00310737409847631,17.8825073217623
106,dis,0.0932192482127715,0.00295523377237883,0.000986044925816128,0.348201608408809,0.0048673193251141,20.6237526279619
108,chg,0.0874932580345851,0.00295523676320769,0.000797862377426338,0.313189314381682,0.00338258071792228,17.2407595618784
114,chg,0.0411974593624156,0.00309382506812846,0.00111878146192916,0.306243228500212,0.00313498258194509,14.8602756068178
120,chg,0.0153721796134122,0.00314385950325721,0.00137367937473513,0.294847704166986,0.0034074824151379,14.5035381452264
126,chg,0.00943035291948724,0.00316676960140223,0.00145953413397901,0.29591474106289,0.00363711313801011,14.6227925296742
