t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
0,Idle,10.5,799.083179183125,-14,100,0,0,0,0,0.100159434965051,104.832859766669
1,Idle,10.5,798.398170512381,-14,99.9972177934732,0.00310621373551904,0,0,0,0.100159434965051,104.829943100002
2,Idle,10.5,798.281292281849,-14,99.9944355869464,0.00621086824650782,0,0,0,0.100159434965051,104.827026433336
3,Idle,10.5,798.206778692602,-14,99.9916533804196,0.00931515060673592,0,0,0,0.100159434965051,104.824109766669
4,Idle,10.5,798.1425898534,-14,99.9888711738928,0.0124191632677976,0,0,0,0.100159434965051,104.821193100002
5,Idle,10.5,798.085337690259,-14,99.986088967366,0.0155229397935769,0,0,0,0.100159434965051,104.818276433336
6,Idle,10.5,798.033736181603,-14,99.9833067608392,0.0186265046594389,0,0,0,0.100159434965051,104.815359766669
7,Idle,10.5,797.987506118219,-14,99.9805245543124,0.0217298792972441,0,0,0,0.100159434965051,104.812443100002
8,Idle,10.5,797.946013354934,-14,99.9777423477856,0.0248330833628863,0,0,0,0.100159434965051,104.809526433336
9,Idle,10.5,797.908776255163,-14,99.9749601412587,0.0279361343426837,0,0,0,0.100159434965051,104.806609766669
10,Idle,10.5,797.87515002038,-14,99.9721779347319,0.031039047532664,0,0,0,0.100159434965051,104.803693100002
11,Idle,10.5,797.845180311936,-14,99.9693957282051,0.0341418370638657,0,0,0,0.100159434965051,104.800776433336
12,Idle,10.5,797.817585086832,-14,99.9666135216783,0.0372445146632522,0,0,0,0.100159434965051,104.797859766669
13,Idle,10.5,797.79222293549,-14,99.9638313151515,0.0403470892899623,0,0,0,0.100159434965051,104.794943100002
14,Idle,10.5,797.769946604217,-14,99.9610491086247,0.0434495712862895,0,0,0,0.100159434965051,104.792026433336
15,Idle,10.5,797.748716371123,-14,99.9582669020979,0.0465519686865193,0,0,0,0.100159434965051,104.789109766669
16,Idle,10.5,797.729496117719,-14,99.9554846955711,0.0496542874330254,0,0,0,0.100159434965051,104.786193100002
17,Idle,10.5,797.711766339826,-14,99.9527024890443,0.0527565343322484,0,0,0,0.100159434965051,104.783276433336
18,Idle,10.5,797.694982979874,-14,99.9499202825175,0.0558587141225922,0,0,0,0.100159434965051,104.780359766669
19,Idle,10.5,797.680063030557,-14,99.9471380759907,0.0589608322676125,0,0,0,0.100159434965051,104.777443100002
20,Idle,10.5,797.665394880548,-14,99.9443558694639,0.0620628928802175,0,0,0,0.100159434965051,104.774526433336
21,Idle,10.5,797.65200875132,-14,99.9415736629371,0.065164898942835,0,0,0,0.100159434965051,104.771609766669
22,Idle,10.5,797.639199682145,-14,99.9387914564102,0.0682668540703445,0,0,0,0.100159434965051,104.768693100002
23,Idle,10.5,797.627131107413,-14,99.9360092498834,0.0713687608246575,0,0,0,0.100159434965051,104.765776433336
24,Idle,10.5,797.615808256339,-14,99.9332270433566,0.0744706220956426,0,0,0,0.100159434965051,104.762859766669
25,Idle,10.5,797.604485405264,-14,99.9304448368298,0.0775724393333179,0,0,0,0.100159434965051,104.759943100002
26,Idle,10.5,797.594174522004,-14,99.927662630303,0.0806742145053987,0,0,0,0.100159434965051,104.757026433336
27,Idle,10.5,797.584057341109,-14,99.9248804237762,0.0837759499562437,0,0,0,0.100159434965051,104.754109766669
28,Idle,10.5,797.574102355266,-14,99.9220982172494,0.0868776463778755,0,0,0,0.100159434965051,104.751193100002
29,Idle,10.5,797.564884059516,-14,99.9193160107226,0.0899793055181265,0,0,0,0.100159434965051,104.748276433336
30,Idle,10.5,797.555665763767,-14,99.9165338041958,0.0930809288094495,0,0,0,0.100159434965051,104.745359766669
31,Idle,10.5,797.546447468017,-14,99.913751597669,0.0961825162518447,0,0,0,0.100159434965051,104.742443100002
32,Idle,10.5,797.537864511659,-14,99.9109693911422,0.099284069080694,0,0,0,0.100159434965051,104.739526433336
33,Idle,10.5,797.529332087005,-14,99.9081871846154,0.102385588629636,0,0,0,0.100159434965051,104.736609766669
34,Idle,10.5,797.52079966235,-14,99.9054049780886,0.105487074996926,0,0,0,0.100159434965051,104.733693100002
35,Idle,10.5,797.512584110495,-14,99.9026227715618,0.108588528798707,0,0,0,0.100159434965051,104.730776433336
36,Idle,10.5,797.50452307591,-14,99.8998405650349,0.111689950951569,0,0,0,0.100159434965051,104.727859766669
37,Idle,10.5,797.496462041326,-14,99.8970583585081,0.114791341755964,0,0,0,0.100159434965051,104.724943100002
38,Idle,10.5,797.488401006741,-14,99.8942761519813,0.117892701211891,0,0,0,0.100159434965051,104.722026433336
39,Idle,10.5,797.480518987775,-14,99.8914939454545,0.120994029667436,0,0,0,0.100159434965051,104.719109766669
40,Idle,10.5,797.472808419705,-14,99.8887117389277,0.124095327804061,0,0,0,0.100159434965051,104.716193100002
41,Idle,10.5,797.465097851636,-14,99.8859295324009,0.127196595955144,0,0,0,0.100159434965051,104.713276433336
42,Idle,10.5,797.457387283566,-14,99.8831473258741,0.130297834120685,0,0,0,0.100159434965051,104.710359766669
43,Idle,10.5,797.449676715497,-14,99.8803651193473,0.133399042300683,0,0,0,0.100159434965051,104.707443100002
44,Idle,10.5,797.442055294277,-14,99.8775829128205,0.13650022066848,0,0,0,0.100159434965051,104.704526433336
45,Idle,10.5,797.434562752541,-14,99.8748007062937,0.139601369648016,0,0,0,0.100159434965051,104.701609766669
46,Idle,10.5,797.427070210805,-14,99.8720184997669,0.142702489489889,0,0,0,0.100159434965051,104.698693100002
47,Idle,10.5,797.419577669069,-14,99.8692362932401,0.1458035801941,0,0,0,0.100159434965051,104.695776433336
48,Idle,10.5,797.412085127333,-14,99.8664540867133,0.148904641760648,0,0,0,0.100159434965051,104.692859766669
49,Idle,10.5,797.404626087094,-14,99.8636718801865,0.152005674254676,0,0,0,0.100159434965051,104.689943100002
50,Idle,10.5,797.397242681467,-14,99.8608896736596,0.155106677888393,0,0,0,0.100159434965051,104.687026433336
51,Idle,10.5,797.389859275841,-14,99.8581074671328,0.158207652808865,0,0,0,0.100159434965051,104.684109766669
52,Idle,10.5,797.382475870215,-14,99.855325260606,0.161308599016094,0,0,0,0.100159434965051,104.681193100002
53,Idle,10.5,797.375092464589,-14,99.8525430540792,0.164409516510078,0,0,0,0.100159434965051,104.678276433336
54,Idle,10.5,797.367709058963,-14,99.8497608475524,0.167510405290818,0,0,0,0.100159434965051,104.675359766669
55,Idle,10.5,797.360325653337,-14,99.8469786410256,0.170611265358315,0,0,0,0.100159434965051,104.672443100002
56,Idle,10.5,797.352972346814,-14,99.8441964344988,0.173712096771093,0,0,0,0.100159434965051,104.669526433336
57,Idle,10.5,797.345649718775,-14,99.841414227972,0.176812899647331,0,0,0,0.100159434965051,104.666609766669
58,Idle,10.5,797.338327090736,-14,99.8386320214452,0.179913674046683,0,0,0,0.100159434965051,104.663693100002
59,Idle,10.5,797.331004462698,-14,99.8358498149184,0.183014419969148,0,0,0,0.100159434965051,104.660776433336
60,Idle,10.5,797.323681834659,-14,99.8330676083916,0.186115137414726,0,0,0,0.100159434965051,104.657859766669
61,Idle,10.5,797.31635920662,-14,99.8302854018648,0.189215826383418,0,0,0,0.100159434965051,104.654943100002
62,Idle,10.5,797.309036578582,-14,99.827503195338,0.192316486875222,0,0,0,0.100159434965051,104.652026433336
63,Idle,10.5,797.301713950543,-14,99.8247209888112,0.19541711889014,0,0,0,0.100159434965051,104.649109766669
64,Idle,10.5,797.294391322504,-14,99.8219387822844,0.198517722428171,0,0,0,0.100159434965051,104.646193100002
65,Idle,10.5,797.287078185312,-14,99.8191565757575,0.201618297507769,0,0,0,0.100159434965051,104.643276433336
66,Idle,10.5,797.279781650774,-14,99.8163743692307,0.204718844179673,0,0,0,0.100159434965051,104.640359766669
67,Idle,10.5,797.272485116235,-14,99.8135921627039,0.207819362476164,0,0,0,0.100159434965051,104.637443100002
68,Idle,10.5,797.265188581696,-14,99.8108099561771,0.210919852397244,0,0,0,0.100159434965051,104.634526433336
69,Idle,10.5,797.257892047157,-14,99.8080277496503,0.214020313942911,0,0,0,0.100159434965051,104.631609766669
70,Idle,10.5,797.250595512618,-14,99.8052455431235,0.217120747113166,0,0,0,0.100159434965051,104.628693100002
71,Idle,10.5,797.243298978079,-14,99.8024633365967,0.220221151908009,0,0,0,0.100159434965051,104.625776433336
72,Idle,10.5,797.236002443541,-14,99.7996811300699,0.22332152832744,0,0,0,0.100159434965051,104.622859766669
73,Idle,10.5,797.228705909002,-14,99.7968989235431,0.226421876371459,0,0,0,0.100159434965051,104.619943100002
74,Idle,10.5,797.221409374463,-14,99.7941167170163,0.229522196040065,0,0,0,0.100159434965051,104.617026433336
75,Idle,10.5,797.214114746737,-14,99.7913345104895,0.232622487336968,0,0,0,0.100159434965051,104.614109766669
76,Idle,10.5,797.206823454664,-14,99.7885523039627,0.235722750272359,0,0,0,0.100159434965051,104.611193100002
77,Idle,10.5,797.19953216259,-14,99.7857700974359,0.238822984852726,0,0,0,0.100159434965051,104.608276433336
78,Idle,10.5,797.192240870517,-14,99.7829878909091,0.241923191078068,0,0,0,0.100159434965051,104.605359766669
79,Idle,10.5,797.184949578443,-14,99.7802056843823,0.245023368948386,0,0,0,0.100159434965051,104.602443100002
80,Idle,10.5,797.177658286369,-14,99.7774234778554,0.248123518463679,0,0,0,0.100159434965051,104.599526433336
81,Idle,10.5,797.170366994296,-14,99.7746412713286,0.251223639623947,0,0,0,0.100159434965051,104.596609766669
82,Idle,10.5,797.163075702222,-14,99.7718590648018,0.25432373242919,0,0,0,0.100159434965051,104.593693100002
83,Idle,10.5,797.155784410148,-14,99.769076858275,0.257423796879408,0,0,0,0.100159434965051,104.590776433336
84,Idle,10.5,797.148493118075,-14,99.7662946517482,0.260523832974602,0,0,0,0.100159434965051,104.587859766669
