t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
0,Taxi,34,795.856694497739,-45.3333333333333,100,0,0,0,0,0.324325789410642,104.832859766669
1,Taxi,34,793.639492408928,-45.3333333333333,99.9909909502941,0.0100079389545975,0,0,0,0.324325789410642,104.823415322224
2,Taxi,34,793.262260932278,-45.3333333333333,99.9819819005883,0.0199995425867459,0,0,0,0.324325789410642,104.81397087778
3,Taxi,34,793.022274017692,-45.3333333333333,99.9729728508824,0.0299872600290235,0,0,0,0.324325789410642,104.804526433336
4,Taxi,34,792.815887174844,-45.3333333333333,99.9639638011766,0.0399721669698654,0,0,0,0.324325789410642,104.795081988891
5,Taxi,34,792.63189199459,-45.3333333333333,99.9549547514708,0.049954615949821,0,0,0,0.324325789410642,104.785637544447
6,Taxi,34,792.46608543657,-45.3333333333333,99.9459457017649,0.0599348624743876,0,0,0,0.324325789410642,104.776193100002
7,Taxi,34,792.31771965002,-45.3333333333333,99.936936652059,0.0699131308767847,0,0,0,0.324325789410642,104.766748655558
8,Taxi,34,792.184743171468,-45.3333333333333,99.9279276023532,0.07988962786492,0,0,0,0.324325789410642,104.757304211113
9,Taxi,34,792.065486417016,-45.3333333333333,99.9189185526473,0.0898645367178845,0,0,0,0.324325789410642,104.747859766669
10,Taxi,34,791.959114268025,-45.3333333333333,99.9099095029415,0.0998380249444199,0,0,0,0.324325789410642,104.738415322224
11,Taxi,34,791.863268428469,-45.3333333333333,99.9009004532356,0.109810239946583,0,0,0,0.324325789410642,104.72897087778
12,Taxi,34,791.775209048728,-45.3333333333333,99.8918914035298,0.119781297026995,0,0,0,0.324325789410642,104.719526433336
13,Taxi,34,791.694654084916,-45.3333333333333,99.8828823538239,0.12975129246154,0,0,0,0.324325789410642,104.710081988891
14,Taxi,34,791.624521239573,-45.3333333333333,99.8738733041181,0.139720339120991,0,0,0,0.324325789410642,104.700637544447
15,Taxi,34,791.556995031328,-45.3333333333333,99.8648642544122,0.149688519038252,0,0,0,0.324325789410642,104.691193100002
16,Taxi,34,791.496956824679,-45.3333333333333,99.8558552047064,0.15965589577216,0,0,0,0.324325789410642,104.681748655558
17,Taxi,34,791.44083210225,-45.3333333333333,99.8468461550005,0.169622541109848,0,0,0,0.324325789410642,104.672304211113
18,Taxi,34,791.388614900415,-45.3333333333333,99.8378371052947,0.17958850429468,0,0,0,0.324325789410642,104.662859766669
19,Taxi,34,791.341576189138,-45.3333333333333,99.8288280555888,0.189553842534873,0,0,0,0.324325789410642,104.653415322224
20,Taxi,34,791.296140835601,-45.3333333333333,99.819819005883,0.199518598530955,0,0,0,0.324325789410642,104.64397087778
21,Taxi,34,791.254068305685,-45.3333333333333,99.8108099561771,0.209482803551474,0,0,0,0.324325789410642,104.634526433336
22,Taxi,34,791.214588297111,-45.3333333333333,99.8018009064713,0.219446495093047,0,0,0,0.324325789410642,104.625081988891
23,Taxi,34,791.176847662531,-45.3333333333333,99.7927918567654,0.229409700430571,0,0,0,0.324325789410642,104.615637544447
24,Taxi,34,791.142123090509,-45.3333333333333,99.7837828070596,0.239372449505683,0,0,0,0.324325789410642,104.606193100002
25,Taxi,34,791.107398518488,-45.3333333333333,99.7747737573537,0.249334761308406,0,0,0,0.324325789410642,104.596748655558
26,Taxi,34,791.075362427609,-45.3333333333333,99.7657647076479,0.259296652766215,0,0,0,0.324325789410642,104.587304211113
27,Taxi,34,791.044491522774,-45.3333333333333,99.756755657942,0.269258148142939,0,0,0,0.324325789410642,104.577859766669
28,Taxi,34,791.013705306297,-45.3333333333333,99.7477466082362,0.279219255308159,0,0,0,0.324325789410642,104.568415322224
29,Taxi,34,790.985703327627,-45.3333333333333,99.7387375585303,0.289179992325484,0,0,0,0.324325789410642,104.55897087778
30,Taxi,34,790.957701348957,-45.3333333333333,99.7297285088245,0.2991403767253,0,0,0,0.324325789410642,104.549526433336
31,Taxi,34,790.929699370287,-45.3333333333333,99.7207194591186,0.309100408507606,0,0,0,0.324325789410642,104.540081988891
32,Taxi,34,790.903367129623,-45.3333333333333,99.7117104094128,0.319060098185568,0,0,0,0.324325789410642,104.530637544447
33,Taxi,34,790.877551341501,-45.3333333333333,99.7027013597069,0.32901945952409,0,0,0,0.324325789410642,104.521193100002
34,Taxi,34,790.851735553379,-45.3333333333333,99.6936923100011,0.33897849577491,0,0,0,0.324325789410642,104.511748655558
35,Taxi,34,790.826666591062,-45.3333333333333,99.6846832602952,0.348937211640264,0,0,0,0.324325789410642,104.502304211113
36,Taxi,34,790.80235041457,-45.3333333333333,99.6756742105894,0.358895616562151,0,0,0,0.324325789410642,104.492859766669
